2617871,Assassins,0
2584183,Alien: Resurrection,0
2624580,Avenging Force,1
2639559,Batman Forever,1
2557384,A Perfect Getaway,1
2743925,Crank: High Voltage,0
2772373,Death Wish,1
2557910,A Plumm Summer,0
2899650,G.I. Joe: The Rise of Cobra,0
2557964,A Polish Vampire in Burbank,1
2557432,A Perfect World,1
2639582,Batman Returns,1
2558150,A Prairie Home Companion,0
2769657,Dead Men Don't Wear Plaid,1
2723998,City of Industry,0
2771548,Death at a Funeral,1
2980984,I Love Trouble,0
3442182,Star Wars: Episode I - The Phantom Menace,0
2969798,House of Good and Evil,1
3202476,Murder by Numbers,0
3444866,Step Up 2: The Streets,1
2559845,A Scanner Darkly,0
3369337,Safe House,1
3498724,The Brass Teapot,0
3442001,Star Trek: First Contact,1
3532105,The Haunting of Molly Hartley,1
3512439,The Devil at 4 O'Clock,0
3535596,The Hunger Games: Mockingjay - Part 1,1
2560157,A Series of Unfortunate Events,0
3530560,The Grudge 2,1
3548531,The Loss of a Teardrop Diamond,0
2560167,A Serious Man,1
3558116,The Mummy: Tomb of the Dragon Emperor,0
3655886,Universal Soldier,1
3615698,Timecop,1
3653412,Underworld: Rise of the Lycans,1
2666890,Blood Feast,1
3442184,Star Wars: Episode II - Attack of the Clones,1
3442185,Star Wars: Episode III - Revenge of the Sith,1
3655893,Universal Soldier: The Return,0
2560599,A Simple Wish,0
2745280,Creepshow,1
2745282,Creepshow 2,1
2751413,Cursed,0
3629235,Transformers: Revenge of the Fallen,1
2667610,Bloodline,0
2760707,Dark Shadows,0
2769413,Dead Heat,0
2812854,Dracula: Dead and Loving It,0
2560899,A Smile Like Yours,0
2855775,Evil Cult,0
2812915,Drag Me to Hell,1
3171888,Men in Black 3,0
2868242,Feardotcom,0
2561204,A Sound of Thunder,0
3535592,The Hunger Games: Catching Fire,1
3185204,Mission: Impossible - Rogue Nation,1
2889544,Frankenweenie,0
3442195,Star Wars: Episode VII - The Force Awakens,1
2935032,Halloween II,1
2935034,Halloween III: Season of the Witch,1
2924758,Graveyard Shift,1
2910090,Ghost in the Machine,0
2561440,A Star Is Born,1
2561441,A Star Is Born,1
2561444,A Star Is Born,1
2935120,Halloween: The Curse of Michael Myers,1
2935117,Halloween: Resurrection,1
3444869,Step Up All In,0
2948533,Hellboy,0
2948539,Hellboy II: The Golden Army,0
3019999,Jason Lives: Friday the 13th Part VI,1
2970078,House on Haunted Hill,1
3020024,Jason X,1
2935015,Halloween H20: 20 Years Later,1
2723975,City of Ghosts,0
3168758,Meet the Parents,1
2602509,Anger Management,1
3227881,Night of the Living Dead,1
3227867,Night of the Lepus,1
3227882,Night of the Living Dead,1
3322071,Pumpkinhead,1
2562162,A Table for One,0
3713220,X: First Class,0
2650082,Best of Enemies,0
3518417,The Exorcist,1
3511038,The Dead Zone,1
3512806,The Devil's Rejects,1
3535138,The House on Sorority Row,1
2562882,A Time of Destiny,0
3442017,Star Trek: Nemesis,0
3459029,Superman Returns,0
2664254,Blade: Trinity,0
2892609,Friday Night Lights,1
3590719,The Texas Chainsaw Massacre: The Beginning,1
3227887,Night of the Living Dead 3D,0
3380318,Scary Movie 5,1
3533399,The Hills Have Eyes II,1
2812826,Dracula Untold,0
3358891,Romeo & Juliet: Sealed with a Kiss,0
3542989,The Last House on the Left,1
3407096,Shrek Forever After,1
3590953,The Thing,0
2723966,City of Ember,0
3486969,The Adventures of Tintin,0
3379127,Saw V,1
2723868,City Island,1
3185198,Mission: Impossible - Ghost Protocol,1
3379132,Saw VI,1
2563903,A Very Brady Sequel,1
2563954,A Very Harold & Kumar 3D Christmas,1
2687448,Bullet to the Head,0
2935033,Halloween II,1
2787323,Devil,1
3510037,The Dark Knight Rises,1
3535585,The Hunger Games,1
3198973,Mr. Popper's Penguins,1
2564540,A Walk in the Clouds,1
2564523,A Walk Among the Tombstones,0
3629225,Transformers: Dark of the Moon,1
2564584,A Walk on the Moon,0
2799772,Disconnect,0
3488973,The Apparition,0
3379111,Saw 3D,1
2969561,House at the End of the Street,1
2689793,Bushwick,0
3260051,Only God Forgives,0
2874052,Final Destination 5,1
2711789,Chasing Mavericks,0
2789532,Diary of a Wimpy Kid: Rodrick Rules,1
2722136,Cinderella,1
2745063,Creature,0
2582591,Alex Cross,0
2559182,A Resurrection,0
3602930,The Words,1
3713109,X-Men: Days of Future Past,1
2574451,Afflicted,1
3535597,The Hunger Games: Mockingjay - Part 2,1
2727267,Cloudy with a Chance of Meatballs 2,1
2789531,Diary of a Wimpy Kid: Dog Days,1
3302787,Point Break,0
2894143,From Philadelphia to Fallujah,1
3025473,Jimmy P.,0
2624957,AVP: Alien vs. Predator,1
2624962,AVPR: Aliens vs Predator - Requiem,1
2620296,ATM,0
2593706,Americons,0
2668829,Blue Jasmine,1
2917614,Gods of Egypt,0
3532613,The Heat,1
2564648,A War Hero,1
2683642,Bronies: The Extremely Unexpected Adult Fans of My Little Pony,0
3278315,Paranormal Activity: The Ghost Dimension,1
3278316,Paranormal Activity: The Marked Ones,1
2567786,Abduction,0
3697830,Whiplash,1
2568594,About Last Night,1
2568742,Above the Law,1
2568696,Above and Beyond,0
2557816,A Place to Call His Own,0
2568826,Abraham Lincoln: Vampire Hunter,0
3571118,The Purge: Anarchy,1
2639598,Batman v Superman: Dawn of Justice,1
2696507,Camp X-Ray,0
2557393,A Perfect Man,0
2557404,A Perfect Murder,1
2569773,Accepted,1
2570146,Ace Ventura: Pet Detective,1
2570148,Ace Ventura: When Nature Calls,1
2652599,Beyond the Lights,1
2728264,Coast Mafia,1
2559436,A Romance of the Redwoods,1
2570986,Act of Valor,0
2560573,A Simple Plan,0
2571183,Action Jackson,1
2560630,A Single Man,1
2561030,A Soldier's Story,1
2745005,Creative Control,0
2593555,American Ultra,0
2604680,Annabelle,1
3441082,Stand by Me Doraemon,1
2561764,A Streetcar Named Desire,1
2567615,Abby 33,1
2562677,A Thin Line Between Love and Hate,1
2562759,A Thousand Words,0
2562916,A Time to Kill,1
2694294,Cake,0
2573595,Adventure Scouts,1
2573795,Adventures of Don Juan,1
2564605,A Walk to Remember,1
2573835,Adventures of Power,0
2565276,A Woman of Affairs,1
2575231,After Earth,0
2567715,ABCD,0
2575388,After Midnight,0
2567340,Abandon,0
2567616,Abby 79,1
2568536,About Cherry,0
2568632,About Schmidt,1
2568490,About a Boy,1
2568748,Above the Rim,1
2569041,Absence of Malice,1
2569192,Absolute Power,1
2576077,Aftershock,0
2576731,Agent Cody Banks,1
2576732,Agent Cody Banks 2: Destination London,0
2752228,Cybernatural,1
2570905,Across to Singapore,1
2570887,Across the Universe,0
2570990,Act of Violence,0
2571127,Action,1
2571991,Adaptation.,1
2578713,Air America,0
2572209,Addiction,0
2578900,Airborne,1
3224821,New York City Finest,1
2579015,Airplane!,1
2579012,Airplane II: The Sequel,1
2572895,Admission,1
2574334,Affair in Trinidad,1
2574456,Affliction,1
2575745,After the Sunset,0
2575865,After.Life,0
2627949,Baby Blues,1
2580745,Al Franken: God Spoke,0
2576263,Against All Odds,1
2576340,Against the Ropes,0
2581720,Alaska,0
2578725,Air Bud,1
2578760,Air Force One,1
2579027,Airport,1
2579031,Airport 1975,1
2579025,Airport '77,1
2648058,Beneath the Darkness,1
2739814,Core of Corruption: In the Shadows,1
2580866,Al midan,0
2582524,Alex & Emma,0
2582065,Albino Alligator,0
2581969,Albert Nobbs,0
2582724,Alexander the Great,0
2582693,Alexander,0
2582844,Alexis Zorbas,1
2582915,Alfie,0
2583215,Ali,0
2583515,Alice,0
2583623,Alice Doesn't Live Here Anymore,1
2583697,Alice in Wonderland,1
2586333,All the Real Girls,0
2583710,Alice in Wonderland,1
2583918,Alien,1
2584074,Alien Nation,1
2584228,Aliens,0
2584261,Aliens in the Attic,0
2584315,Alien³,0
2584504,Alive,1
2584538,Alive Inside,0
2584744,All About Eve,0
2584805,All About the Benjamins,1
2584797,All About Steve,1
2585549,All Is Lost,0
2585918,All Quiet on the Western Front,1
2611787,Arizona Dream,0
2622419,August Rush,1
2586212,All the Brothers Were Valiant,1
2623466,Auto Focus,0
2586271,All the King's Men,0
2586310,All the President's Men,1
2586319,All the Pretty Horses,0
2586325,All the Queen's Men,0
3182622,Miracles from Heaven,1
2586925,Allah Made Me Funny: Live in Concert,1
2587112,Allegheny Uprising,1
2587207,Alleluia! The Devil's Carnival,0
2588130,Almost Famous,0
2588290,Almost You,0
2588092,Almost an Angel,0
2588346,Aloha,0
2644252,Before and After,0
2588503,Alone,0
2588607,Alone in the Dark,0
2588724,Alone Yet Not Alone,0
2588749,Along Came a Spider,1
2588756,Along Came Polly,1
2588702,Alone with Her,0
2588630,Alone in the House II,1
2588920,Alpha and Omega,1
2652100,Beyond Borders,0
2589808,Always,1
2589773,Alvin and the Chipmunks,1
2589783,Alvin and the Chipmunks: The Squeakquel,1
2589779,Alvin and the Chipmunks: Chipwrecked,1
2685627,Bubbling Troubles,1
2590439,Amadeus,0
3581725,The Shoebox,0
2669192,Blue Thunder,1
3378931,Saving Shells,0
3007223,Into a Bar,0
2674976,Born American,0
2591904,Amelia,0
2592368,America's Sweethearts,1
2592403,America: Freedom to Fascism,0
2592714,American Desi,1
2592779,American Dreamz,0
2592888,American Gangster,1
2592974,American Heart,0
2593170,American Me,0
2593327,American Psycho,1
2593294,American Pimp,0
2593287,American Pie 2,1
2593446,American Sniper,1
2593506,American Swing,0
2593597,American Wedding,1
2593673,Americanizing Shelley,0
2593926,Amigo,0
2594048,Amistad,1
2683827,Brooklyn's Finest,1
2595432,Amy's Orgasm,1
2595683,An Alan Smithee Film: Burn Hollywood Burn,0
2595820,An American Haunting,1
2595781,An American Carol,0
2595835,An American in Paris,1
2595908,An American Werewolf in London,1
2595913,An American Werewolf in Paris,1
2596681,An Everlasting Piece,0
2596847,An Ideal Husband,1
3505642,The Colonial Parkway: The Foundation of Our Economy,0
2709872,Changing Lanes,1
2597321,An Officer and a Gentleman,1
2597597,An Unfinished Life,0
2597966,Anaconda,1
2597975,Anacondas: The Hunt for the Blood Orchid,1
2599203,Analyze This,1
2730097,Cold Mountain,1
2599422,Anastasia,0
2599792,Anchorman: The Legend of Ron Burgundy,1
2599786,Anchorman 2: The Legend Continues,1
2732201,Come Early Morning,0
2600092,And So It Goes,0
2744628,Crazy/Beautiful,1
2748434,Cry_Wolf,1
2601687,Angel,1
2601824,Angel Heart,1
2601801,Angel Eyes,0
2602090,Angela's Ashes,0
2602290,Angels & Demons,0
2602387,Angels in the Outfield,1
2758319,Dangerous Minds,1
2603151,Animal House,0
2760893,Dark Water,0
2772383,Death Wish II,1
2772381,Death Wish 3,1
2772382,Death Wish 4: The Crackdown,1
2772384,Death Wish V: The Face of Death,0
2795319,Die unendliche Geschichte,0
2811398,Down in the Valley,0
3140167,Lucky Numbers,1
2783931,Descendants of the Coven,1
2604418,Anna Christie,1
2604477,Anna Karenina,0
2604487,Anna Karenina,0
2604397,Anna and the King,0
2604736,Annapolis,0
2604963,Annie Get Your Gun,1
2604974,Annie Hall,1
2604932,Annie,1
2604936,Annie,1
2605297,Anomalisa,0
2605451,Another 48 Hrs.,1
2605383,Anonymous,0
2605553,Another Day in Paradise,0
2605610,Another Gay Movie,1
2605849,Another Woman,0
2605875,Another You,0
2606062,Ant-Man,1
2606110,Antarctic Edge: 70° South,0
2862016,Faithful,0
2606707,Antitrust,0
2606986,Antz,1
2606977,Antwone Fisher,1
2607196,Any Given Sunday,1
2607364,Anything Else,0
2607456,Anywhere But Here,0
2874718,Finding Forrester,1
2607436,Anytown,0
2607717,Apache,1
2608333,Apocalypse Now,0
2879631,Flesh+Blood,0
2608461,Apollo 13,0
2608384,Apocalypto,1
2608472,Apollo 18,1
2609243,April Fool's Day,1
2609300,April's Shower,0
2609452,Apt Pupil,0
2609605,Aquamarine,1
2609571,Aqua Teen Hunger Force Colon Movie Film for Theaters,1
2610052,Arachnophobia,1
2610371,Arbitrage,0
2610513,Arch of Triumph,0
2610937,Are We There Yet?,1
2910564,Ghosts of Mississippi,0
2610983,Are You for Great Sex?,1
2611350,Argo,1
2611978,Arlington Road,1
2612046,Armageddon,1
2612160,Armed Response,0
2612148,Armed and Dangerous,1
2612293,Armored,0
2917375,God's Pocket,0
2612436,Army of Darkness,0
2612558,Arnolds Park,0
